,set_size,average_insert,average_find,collision_rate,time
472,47700.0,7.1784067085953875,7.1784067085953875,0.7416142557651991,0.4743976593017578
473,47800.0,2.8348117154811714,2.8348117154811714,0.5182535199481161,0.4622673988342285
474,47900.0,2.8307306889352817,2.8307306889352817,0.518705636743215,0.34855031967163086
475,48000.0,20.560541666666666,20.560541666666666,0.6280625,0.669074535369873
476,48100.0,16.34939708939709,16.34939708939709,0.8737629937629937,0.603337287902832
477,48200.0,6.875207468879668,6.875207468879668,0.7389211618257261,0.4070773124694824
478,48300.0,5.350372670807453,5.350372670807453,0.7015113871635611,0.6211748123168945
479,48400.0,6.223388429752066,6.223388429752066,0.59362796751999,0.6527745723724365
480,48500.0,19.388453608247424,19.388453608247424,0.7519742675106703,1.137559413909912
481,48600.0,30.258127572016463,30.258127572016463,0.8306755283030515,1.4131903648376465
482,48700.0,6.8665092402464065,6.8665092402464065,0.7379260780287474,0.6767799854278564
483,48800.0,13.85094262295082,13.85094262295082,0.7599795081967213,0.7945530414581299
484,48900.0,6.977075664621677,6.977075664621677,0.7381950551136015,0.6918680667877197
485,49000.0,26.00569387755102,26.00569387755102,0.7696687687503827,1.2262825965881348
486,49100.0,2.8536252545824845,2.8536252545824845,0.5178516874070755,0.619312047958374
487,49200.0,3.5941260162601627,3.5941260162601627,0.5559756097560976,0.6081459522247314
488,49300.0,2.8411156186612576,2.8411156186612576,0.5157711109758819,0.6155855655670166
489,49400.0,16.103502024291497,16.103502024291497,0.8704048582995951,1.0332627296447754
490,49500.0,21.033333333333335,21.033333333333335,0.7538787878787879,1.1570134162902832
491,49600.0,14.037479838709677,14.037479838709677,0.7617338709677419,1.0045640468597412
492,49700.0,5.470684104627766,5.470684104627766,0.7011871227364185,0.731778621673584
493,49800.0,2.8312449799196786,2.8312449799196786,0.514488242735798,0.7310471534729004
494,49900.0,6.84691382765531,6.84691382765531,0.7379454086336126,0.8303253650665283
495,50000.0,17.13238,17.13238,0.5975919518390368,0.970280647277832
496,50100.0,2.8283433133732534,2.8283433133732534,0.5148502994011976,0.6584489345550537
497,50200.0,2.8086653386454183,2.8086653386454183,0.5147211155378486,0.5962541103363037
498,50300.0,2.8800198807157056,2.8800198807157056,0.5258846918489065,0.6040780544281006
499,50400.0,37.84617063492063,37.84617063492063,0.880436507936508,1.568957805633545
500,50500.0,7.112,7.112,0.5557029702970298,0.9873554706573486
501,50600.0,2.814584980237154,2.814584980237154,0.5171936758893281,0.5616519451141357
502,50700.0,7.710315581854044,7.710315581854044,0.7453846153846154,0.861609697341919
503,50800.0,9.155216535433071,9.155216535433071,0.7545472440944881,0.8224701881408691
504,50900.0,2.8229469548133594,2.8229469548133594,0.5122396856581533,0.6588840484619141
505,51000.0,7.284137254901961,7.284137254901961,0.5625404419694504,0.8902945518493652
506,51100.0,15.681056751467711,15.681056751467711,0.8644227005870841,1.1509883403778076
507,51200.0,22.22044921875,22.22044921875,0.6045548654244306,1.2052714824676514
508,51300.0,32.86543859649123,32.86543859649123,0.9154191033138401,1.6464462280273438
509,51400.0,2.7817898832684826,2.7817898832684826,0.5125975213525555,0.724299430847168
510,51500.0,20.0546213592233,20.0546213592233,0.752116504854369,1.1637499332427979
511,51600.0,8.809186046511629,8.809186046511629,0.7527229737586728,0.8505420684814453
512,51700.0,2.8230174081237913,2.8230174081237913,0.5148068628019884,0.6299729347229004
513,51800.0,15.013532818532818,15.013532818532818,0.861966447228711,1.1599819660186768
514,51900.0,2.808747591522158,2.808747591522158,0.5151252408477842,0.574282169342041
515,52000.0,42.87509615384615,42.87509615384615,0.7648653846153847,1.9358808994293213
516,52100.0,2.8308637236084455,2.8308637236084455,0.5187523992322457,0.6758742332458496
517,52200.0,7.074827586206896,7.074827586206896,0.7410153256704981,0.7348637580871582
518,52300.0,6.984302103250478,6.984302103250478,0.7396175908221797,0.8364255428314209
519,52400.0,3.619732824427481,3.619732824427481,0.5603732895665948,0.6374790668487549
520,52500.0,16.890819047619047,16.890819047619047,0.7203619047619048,1.0494282245635986
521,52600.0,2.849809885931559,2.849809885931559,0.5172623574144487,0.6526541709899902
522,52700.0,6.9246110056926,6.9246110056926,0.734933586337761,0.7715051174163818
523,52800.0,5.278484848484848,5.278484848484848,0.588219696969697,0.8147368431091309
524,52900.0,4.737069943289225,4.737069943289225,0.5401323251417769,0.6607546806335449
525,53000.0,7.105150943396226,7.105150943396226,0.5595283018867925,0.8123595714569092
526,53100.0,7.200583804143126,7.200583804143126,0.7407484133411175,0.8939578533172607
527,53200.0,20.81109022556391,20.81109022556391,0.8671378623256514,1.2967174053192139
528,53300.0,5.757598499061913,5.757598499061913,0.7181050656660413,0.7612869739532471
529,53400.0,2.8865355805243444,2.8865355805243444,0.520374531835206,0.6181216239929199
530,53500.0,7.092766355140187,7.092766355140187,0.5628411214953271,0.9113669395446777
531,53600.0,14.059291044776119,14.059291044776119,0.7626821395921566,1.3686370849609375
532,53700.0,2.786368715083799,2.786368715083799,0.5142644320297951,0.6844730377197266
533,53800.0,2.854368029739777,2.854368029739777,0.523364312267658,0.5738108158111572
534,53900.0,8.126790352504639,8.126790352504639,0.7569573283858998,0.9254443645477295
535,54000.0,51.97137037037037,51.97137037037037,0.8299074074074074,2.2089529037475586
536,54100.0,6.957800369685767,6.957800369685767,0.7384288354898336,0.8044111728668213
537,54200.0,6.671143911439114,6.671143911439114,0.7376102439204398,0.8014242649078369
538,54300.0,7.0937753222836095,7.0937753222836095,0.7403082929704046,0.9222202301025391
539,54400.0,6.9775551470588235,6.9775551470588235,0.5946139705882353,0.874558687210083
540,54500.0,19.49954128440367,19.49954128440367,0.74948623853211,1.2392103672027588
541,54600.0,13.715604395604396,13.715604395604396,0.8538984230480412,1.1317908763885498
542,54700.0,7.214478976234004,7.214478976234004,0.7393553812683962,0.850980281829834
543,54800.0,3.621094890510949,3.621094890510949,0.5632767021296009,0.6922721862792969
544,54900.0,18.457213114754097,18.457213114754097,0.888287795992714,1.1805016994476318
545,55000.0,7.231509090909091,7.231509090909091,0.5640648011782032,1.0230128765106201
546,55100.0,6.247749546279492,6.247749546279492,0.7273321234119782,0.7604360580444336
547,55200.0,5.135217391304348,5.135217391304348,0.5911231884057971,0.7573068141937256
548,55300.0,15.731989150090415,15.731989150090415,0.8645750452079566,1.0953822135925293
549,55400.0,6.590902527075812,6.590902527075812,0.7388808664259928,0.8523604869842529
550,55500.0,18.75590990990991,18.75590990990991,0.7458198198198198,1.2504124641418457
551,55600.0,9.459820143884892,9.459820143884892,0.7545055577538761,1.0067524909973145
552,55700.0,2.802908438061041,2.802908438061041,0.5143087971274686,0.696819543838501
553,55800.0,18.275501792114696,18.275501792114696,0.8864854208856789,1.3214304447174072
554,55900.0,15.958121645796064,15.958121645796064,0.8755992844364937,1.2672061920166016
555,56000.0,39.16625,39.16625,0.75225,1.959428071975708
556,56100.0,2.821301247771836,2.821301247771836,0.5180748663101604,0.6867570877075195
557,56200.0,2.8354626334519573,2.8354626334519573,0.5171174377224199,0.6286129951477051
558,56300.0,2.869360568383659,2.869360568383659,0.5185790408525754,0.6283502578735352
559,56400.0,3.642535460992908,3.642535460992908,0.5601241134751773,0.7884130477905273
560,56500.0,6.988884955752212,6.988884955752212,0.557929203539823,0.8752498626708984
561,56600.0,6.601325088339222,6.601325088339222,0.7387809187279152,0.8448996543884277
562,56700.0,32.982275132275134,32.982275132275134,0.904726631393298,1.8242731094360352
563,56800.0,5.111390845070423,5.111390845070423,0.5860035211267606,0.8109822273254395
564,56900.0,2.820140597539543,2.820140597539543,0.5209054640679098,0.7635385990142822
565,57000.0,18.502491228070177,18.502491228070177,0.7404470332292361,1.2901580333709717
566,57100.0,6.886164623467601,6.886164623467601,0.7404203152364274,0.9333267211914062
567,57200.0,8.055244755244756,8.055244755244756,0.7368835119495096,0.9275498390197754
568,57300.0,2.8350785340314135,2.8350785340314135,0.5193891797556719,0.7827930450439453
569,57400.0,5.523797909407666,5.523797909407666,0.7011742569427506,0.8471190929412842
570,57500.0,7.1025217391304345,7.1025217391304345,0.5594532078818762,1.0848925113677979
571,57600.0,32.25572916666667,32.25572916666667,0.7706557405510512,1.8381474018096924
572,57700.0,6.889098786828423,6.889098786828423,0.7383663495034576,0.9522073268890381
573,57800.0,4.707923875432526,4.707923875432526,0.5472491349480969,0.7427730560302734
574,57900.0,6.516424870466321,6.516424870466321,0.7371848013816926,0.8790552616119385
575,58000.0,9.760810344827586,9.760810344827586,0.6006724137931034,0.9077243804931641
576,58100.0,5.505542168674698,5.505542168674698,0.7018020964216252,0.8504741191864014
577,58200.0,6.650171821305842,6.650171821305842,0.7380240549828179,0.7459897994995117
578,58300.0,2.8533447684391082,2.8533447684391082,0.5205235081219232,0.810366153717041
579,58400.0,14.369006849315069,14.369006849315069,0.7649657534246576,1.259251594543457
580,58500.0,52.355213675213676,52.355213675213676,0.884,2.577381134033203
581,58600.0,2.898037542662116,2.898037542662116,0.5209897610921501,0.6987957954406738
582,58700.0,2.8128449744463375,2.8128449744463375,0.5181771720613287,0.7313854694366455
583,58800.0,10.928792517006803,10.928792517006803,0.773078231292517,1.0385754108428955
584,58900.0,17.36629881154499,17.36629881154499,0.8780645161290322,1.2424254417419434
585,59000.0,7.129,7.129,0.5664576271186441,0.8457493782043457
586,59100.0,2.8803045685279187,2.8803045685279187,0.5194077834179357,0.8118281364440918
587,59200.0,13.138918918918918,13.138918918918918,0.7591006604841298,1.1744978427886963
588,59300.0,2.841045531197302,2.841045531197302,0.517133220910624,0.7158174514770508
589,59400.0,12.091380471380472,12.091380471380472,0.8088552188552188,1.0465505123138428
590,59500.0,17.056823529411766,17.056823529411766,0.720890756302521,1.1806378364562988
591,59600.0,3.684244966442953,3.684244966442953,0.5648584707797111,0.8330197334289551
592,59700.0,6.9836850921273035,6.9836850921273035,0.737353433835846,1.028726577758789
593,59800.0,5.66005016722408,5.66005016722408,0.7193598555159785,0.9066033363342285
594,59900.0,2.8836227045075127,2.8836227045075127,0.5274378537204294,0.7931473255157471
595,60000.0,15.7488,15.7488,0.6247270787846464,1.1454784870147705
596,60100.0,7.1795840266222966,7.1795840266222966,0.7401287875006239,0.8959779739379883
597,60200.0,14.241810631229235,14.241810631229235,0.8624252491694352,1.247722864151001
598,60300.0,18.29960199004975,18.29960199004975,0.8891855586328131,1.2781548500061035
599,60400.0,9.86726821192053,9.86726821192053,0.7610556466166658,1.064375638961792
600,60500.0,12.520727272727273,12.520727272727273,0.5938677685950413,1.1557509899139404
601,60600.0,2.841138613861386,2.841138613861386,0.521279229030182,0.8022925853729248
602,60700.0,6.799373970345964,6.799373970345964,0.7399133428886802,0.9423706531524658
603,60800.0,18.890542763157896,18.890542763157896,0.7596217105263158,1.4005064964294434
604,60900.0,5.5304761904761905,5.5304761904761905,0.7073234811165846,0.8565008640289307
605,61000.0,19.770475409836067,19.770475409836067,0.7500655737704918,1.3913288116455078
606,61100.0,5.743878887070377,5.743878887070377,0.716591106237418,0.8526146411895752
607,61200.0,9.451535947712419,9.451535947712419,0.7580882352941176,1.0177955627441406
608,61300.0,6.866574225122349,6.866574225122349,0.7402610114192496,0.7447905540466309
609,61400.0,7.287100977198697,7.287100977198697,0.7418241042345277,0.9121692180633545
610,61500.0,7.000016260162601,7.000016260162601,0.5595934959349593,0.8210816383361816
611,61600.0,11.520909090909091,11.520909090909091,0.7366883116883117,1.2618236541748047
612,61700.0,2.8904051863857374,2.8904051863857374,0.5246191247974068,0.8138153553009033
613,61800.0,6.768915857605178,6.768915857605178,0.7379126213592233,0.858623743057251
614,61900.0,6.885525040387722,6.885525040387722,0.7404846526655897,0.9127354621887207
615,62000.0,27.760516129032258,27.760516129032258,0.765153714635956,1.792781114578247
616,62100.0,11.813236714975845,11.813236714975845,0.8085575792711404,1.2522709369659424
617,62200.0,2.8516398713826367,2.8516398713826367,0.5231916911847457,0.6772382259368896
618,62300.0,5.501380417335474,5.501380417335474,0.7050561797752809,0.8293278217315674
619,62400.0,12.304150641025641,12.304150641025641,0.750284459686854,1.1095178127288818
620,62500.0,35.17392,35.17392,0.56584,2.0556604862213135
621,62600.0,6.671837060702876,6.671837060702876,0.737555910543131,0.9564840793609619
622,62700.0,6.306140350877193,6.306140350877193,0.7261562998405103,0.974433422088623
623,62800.0,8.950079617834396,8.950079617834396,0.7553304988932945,1.0151557922363281
624,62900.0,6.167503974562798,6.167503974562798,0.7308267090620032,0.9561967849731445
625,63000.0,51.71920634920635,51.71920634920635,0.8742202257178685,3.4311959743499756
626,63100.0,6.934231378763867,6.934231378763867,0.7380824088748019,0.9269170761108398
627,63200.0,13.878148734177215,13.878148734177215,0.7643037974683544,1.3194637298583984
628,63300.0,7.133744075829384,7.133744075829384,0.7401064787753361,0.959733247756958
629,63400.0,2.83391167192429,2.83391167192429,0.5210334547863531,0.8631138801574707
630,63500.0,19.34036220472441,19.34036220472441,0.750464581561624,1.5735862255096436
631,63600.0,3.659685534591195,3.659685534591195,0.5623270440251572,0.93398118019104
632,63700.0,21.281522762951333,21.281522762951333,0.8883359497645212,1.5089359283447266
633,63800.0,2.828949843260188,2.828949843260188,0.5186363636363637,0.7287311553955078
634,63900.0,6.984397496087637,6.984397496087637,0.7397026604068857,0.9358088970184326
635,64000.0,35.3733125,35.3733125,0.6367698990593456,2.1640591621398926
636,64100.0,2.8223088923556943,2.8223088923556943,0.518136008362065,0.8500661849975586
637,64200.0,2.851121495327103,2.851121495327103,0.5202729014470631,0.948861837387085
638,64300.0,7.320575427682737,7.320575427682737,0.7408864696734059,0.9859952926635742
639,64400.0,7.340621118012423,7.340621118012423,0.7265796052733738,0.9859018325805664
640,64500.0,18.707333333333334,18.707333333333334,0.7494728682170543,1.4482231140136719
641,64600.0,6.300712074303406,6.300712074303406,0.7268266253869969,1.064422369003296
642,64700.0,2.872642967542504,2.872642967542504,0.5229991653528703,0.7548072338104248
643,64800.0,29.875077160493827,29.875077160493827,0.8289942746030031,1.8748714923858643
644,64900.0,2.8308320493066255,2.8308320493066255,0.5175346687211094,0.808711051940918
645,65000.0,17.57853846153846,17.57853846153846,0.7345538461538461,1.4144392013549805
646,65100.0,14.912703533026114,14.912703533026114,0.8633640552995392,1.2714157104492188
647,65200.0,9.248819018404909,9.248819018404909,0.75683676130002,1.2334961891174316
648,65300.0,2.862220520673813,2.862220520673813,0.521010719754977,0.7915701866149902
649,65400.0,6.557492354740061,6.557492354740061,0.7366819571865444,0.8333735466003418
650,65500.0,7.238351145038168,7.238351145038168,0.5620763358778625,0.9819037914276123
651,65600.0,5.167484756097561,5.167484756097561,0.588734756097561,0.9920415878295898
652,65700.0,20.85461187214612,20.85461187214612,0.889269406392694,1.508561134338379
653,65800.0,5.573115501519757,5.573115501519757,0.7053951367781155,0.8986153602600098
