,set_size,average_insert,average_find,time
285,57500.0,19.556600984364945,19.556600984364945,1.89595365524292
286,57700.0,19.768332206797346,19.768332206797346,1.971479892730713
287,57900.0,19.04735751295337,19.04735751295337,1.9500985145568848
288,58100.0,20.09253012048193,20.09253012048193,1.923536777496338
289,58300.0,19.634528301886792,19.634528301886792,1.8216392993927002
290,58500.0,20.14195114446401,20.14195114446401,2.061579465866089
291,58700.0,20.016967632027256,20.016967632027256,1.997584342956543
292,58900.0,19.74074702886248,19.74074702886248,1.9853785037994385
293,59100.0,19.32636762043351,19.32636762043351,2.003377676010132
294,59300.0,20.71220910623946,20.71220910623946,2.045436143875122
295,59500.0,19.53633613445378,19.53633613445378,1.9315836429595947
